from_cells,deficit_remaining,to_cell,amount,note,vertical
2024-2026|1,1,2015-2017|1,1,proportional redistribution,animated_film
2024-2026|1,0,2018-2020|1,1,proportional redistribution,animated_film
2015-2017|1,0,2021-2023|1,1,proportional redistribution,anglophone_animation
